group	ec_number	pathwayid	pathway_id	pathway_name
group A	2.1.1.261	p901	901	Indole alkaloid biosynthesis
group A	2.1.1.267	p944	944	Flavone and flavonol biosynthesis
group A	2.1.1.269	p920	920	Sulfur metabolism
group A	2.1.1.27	p350	350	Tyrosine metabolism
group A	2.1.1.270	p943	943	Isoflavonoid biosynthesis
group A	2.1.1.271	p860	860	Porphyrin and chlorophyll metabolism
group A	2.1.1.272	p860	860	Porphyrin and chlorophyll metabolism
group A	2.1.1.279	p940	940	Phenylpropanoid biosynthesis
group A	2.1.1.28	p350	350	Tyrosine metabolism
group A	2.1.1.284	p401	401	Novobiocin biosynthesis
group A	2.1.1.285	p401	401	Novobiocin biosynthesis
group A	2.1.1.288	p1057	1057	Biosynthesis of type II polyketide products
group A	2.1.1.289	p860	860	Porphyrin and chlorophyll metabolism
group A	2.1.1.291	p950	950	Isoquinoline alkaloid biosynthesis
group A	2.1.1.292	p1057	1057	Biosynthesis of type II polyketide products
group A	2.1.1.293	p404	404	Staurosporine biosynthesis
group A	2.1.1.295	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis
group A	2.1.1.303	p1059	1059	Biosynthesis of enediyne antibiotics
group A	2.1.1.305	p1057	1057	Biosynthesis of type II polyketide products
group A	2.1.1.306	p1057	1057	Biosynthesis of type II polyketide products
group A	2.1.1.307	p1057	1057	Biosynthesis of type II polyketide products
group A	2.1.1.308	p998	998	Biosynthesis of various antibiotics
group A	2.1.1.315	p1051	1051	Biosynthesis of ansamycins
group A	2.1.1.323	p999	999	Biosynthesis of various plant secondary metabolites
group A	2.1.1.324	p523	523	Polyketide sugar unit biosynthesis
group A	2.1.1.325	p981	981	Insect hormone biosynthesis
group A	2.1.1.326	p440	440	Phosphonate and phosphinate metabolism
group A	2.1.1.327	p405	405	Phenazine biosynthesis
group A	2.1.1.329	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis
group A	2.1.1.330	p999	999	Biosynthesis of various plant secondary metabolites
group A	2.1.1.331	p860	860	Porphyrin and chlorophyll metabolism
group A	2.1.1.332	p860	860	Porphyrin and chlorophyll metabolism
group A	2.1.1.333	p860	860	Porphyrin and chlorophyll metabolism
group A	2.1.1.334	p920	920	Sulfur metabolism
group A	2.1.1.335	p253	253	Tetracycline biosynthesis
group A	2.1.1.335	p1057	1057	Biosynthesis of type II polyketide products
group A	2.1.1.336	p950	950	Isoquinoline alkaloid biosynthesis
group A	2.1.1.337	p950	950	Isoquinoline alkaloid biosynthesis
group A	2.1.1.338	p941	941	Flavonoid biosynthesis
group A	2.1.1.339	p941	941	Flavonoid biosynthesis
group A	2.1.1.340	p999	999	Biosynthesis of various plant secondary metabolites
group A	2.1.1.341	p627	627	"1,4-Dichlorobenzene degradation"
group A	2.1.1.343	p998	998	Biosynthesis of various antibiotics
group A	2.1.1.345	p901	901	Indole alkaloid biosynthesis
group A	2.1.1.352	p950	950	Isoquinoline alkaloid biosynthesis
group A	2.1.1.354	p310	310	Lysine degradation
group A	2.1.1.355	p310	310	Lysine degradation
group A	2.1.1.356	p310	310	Lysine degradation
group A	2.1.1.357	p310	310	Lysine degradation
group A	2.1.1.359	p310	310	Lysine degradation
group A	2.1.1.360	p310	310	Lysine degradation
group A	2.1.1.361	p310	310	Lysine degradation
group A	2.1.1.362	p310	310	Lysine degradation
group A	2.1.1.364	p310	310	Lysine degradation
group A	2.1.1.366	p310	310	Lysine degradation
group A	2.1.1.367	p310	310	Lysine degradation
group A	2.1.1.368	p310	310	Lysine degradation
group A	2.1.1.369	p310	310	Lysine degradation
group A	2.1.1.37	p270	270	Cysteine and methionine metabolism
group A	2.1.1.370	p310	310	Lysine degradation
group A	2.1.1.371	p310	310	Lysine degradation
group A	2.1.1.372	p310	310	Lysine degradation
group A	2.1.1.376	p260	260	"Glycine, serine and threonine metabolism"
group A	2.1.1.378	p670	670	One carbon pool by folate
group A	2.1.1.38	p231	231	Puromycin biosynthesis
group A	2.1.1.38	p998	998	Biosynthesis of various antibiotics
group A	2.1.1.380	p998	998	Biosynthesis of various antibiotics
group A	2.1.1.382	p627	627	"1,4-Dichlorobenzene degradation"
group A	2.1.1.385	p670	670	One carbon pool by folate
group A	2.1.1.39	p562	562	Inositol phosphate metabolism
group A	2.1.1.4	p380	380	Tryptophan metabolism
group A	2.1.1.40	p562	562	Inositol phosphate metabolism
group A	2.1.1.41	p100	100	Steroid biosynthesis
group A	2.1.1.42	p944	944	Flavone and flavonol biosynthesis
group A	2.1.1.43	p310	310	Lysine degradation
group A	2.1.1.44	p340	340	Histidine metabolism
group A	2.1.1.45	p240	240	Pyrimidine metabolism
group A	2.1.1.45	p670	670	One carbon pool by folate
group A	2.1.1.46	p943	943	Isoflavonoid biosynthesis
group A	2.1.1.47	p380	380	Tryptophan metabolism
group A	2.1.1.49	p380	380	Tryptophan metabolism
group A	2.1.1.5	p260	260	"Glycine, serine and threonine metabolism"
group A	2.1.1.5	p270	270	Cysteine and methionine metabolism
group A	2.1.1.50	p902	902	Monoterpenoid biosynthesis
group A	2.1.1.53	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	2.1.1.59	p310	310	Lysine degradation
group A	2.1.1.6	p140	140	C21-Steroid hormone metabolism
group A	2.1.1.6	p350	350	Tyrosine metabolism
group A	2.1.1.6	p965	965	Betalain biosynthesis
group A	2.1.1.60	p310	310	Lysine degradation
group A	2.1.1.64	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis
group A	2.1.1.67	p983	983	Drug metabolism - other enzymes
group A	2.1.1.68	p940	940	Phenylpropanoid biosynthesis
group A	2.1.1.69	p999	999	Biosynthesis of various plant secondary metabolites
group A	2.1.1.7	p760	760	Nicotinate and nicotinamide metabolism
group A	2.1.1.7	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	2.1.1.70	p999	999	Biosynthesis of various plant secondary metabolites
group A	2.1.1.71	p564	564	Glycerophospholipid metabolism
group A	2.1.1.75	p944	944	Flavone and flavonol biosynthesis
group A	2.1.1.76	p944	944	Flavone and flavonol biosynthesis
group A	2.1.1.8	p340	340	Histidine metabolism
group A	2.1.1.82	p944	944	Flavone and flavonol biosynthesis
group A	2.1.1.83	p944	944	Flavone and flavonol biosynthesis
group A	2.1.1.86	p680	680	Methane metabolism
group A	2.1.1.89	p950	950	Isoquinoline alkaloid biosynthesis
group A	2.1.1.90	p680	680	Methane metabolism
group A	2.1.1.94	p901	901	Indole alkaloid biosynthesis
group A	2.1.1.95	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis
group A	2.1.1.96	p450	450	Selenoamino acid metabolism
group A	2.1.1.99	p901	901	Indole alkaloid biosynthesis
group A	2.1.2.1	p260	260	"Glycine, serine and threonine metabolism"
group A	2.1.2.1	p460	460	Cyanoamino acid metabolism
group A	2.1.2.1	p630	630	Glyoxylate and dicarboxylate metabolism
group A	2.1.2.1	p670	670	One carbon pool by folate
group A	2.1.2.1	p680	680	Methane metabolism
group A	2.1.2.10	p260	260	"Glycine, serine and threonine metabolism"
group A	2.1.2.10	p670	670	One carbon pool by folate
group A	2.1.2.10	p910	910	Nitrogen metabolism
group A	2.1.2.11	p770	770	Pantothenate and CoA biosynthesis
group A	2.1.2.13	p520	520	Amino sugar and nucleotide sugar metabolism
group A	2.1.2.14	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	2.1.2.2	p230	230	Purine metabolism
group A	2.1.2.2	p670	670	One carbon pool by folate
group A	2.1.2.3	p230	230	Purine metabolism
group A	2.1.2.3	p670	670	One carbon pool by folate
group A	2.1.2.4	p230	230	Purine metabolism
group A	2.1.2.4	p670	670	One carbon pool by folate
group A	2.1.2.5	p340	340	Histidine metabolism
group A	2.1.2.5	p670	670	One carbon pool by folate
group A	2.1.2.7	p670	670	One carbon pool by folate
group A	2.1.2.8	p240	240	Pyrimidine metabolism
group A	2.1.2.8	p670	670	One carbon pool by folate
group A	2.1.2.9	p670	670	One carbon pool by folate
group A	2.1.2.9	p970	970	Aminoacyl-tRNA biosynthesis
group A	2.1.3.-	p1051	1051	Biosynthesis of ansamycins
group A	2.1.3.1	p640	640	Propanoate metabolism
group A	2.1.3.11	p330	330	Arginine and proline metabolism
group A	2.1.3.12	p401	401	Novobiocin biosynthesis
group A	2.1.3.16	p230	230	Purine metabolism
group A	2.1.3.2	p240	240	Pyrimidine metabolism
group A	2.1.3.2	p250	250	"Alanine, aspartate and glutamate metabolism"
group A	2.1.3.3	p220	220	Arginine biosynthesis
group A	2.1.3.3	p330	330	Arginine and proline metabolism
group A	2.1.3.5	p230	230	Purine metabolism
group A	2.1.3.7	p311	311	Penicillin and cephalosporin biosynthesis
group A	2.1.3.9	p220	220	Arginine biosynthesis
group A	2.1.3.9	p330	330	Arginine and proline metabolism
group A	2.1.4.1	p260	260	"Glycine, serine and threonine metabolism"
group A	2.1.4.1	p330	330	Arginine and proline metabolism
group A	2.1.4.2	p521	521	Streptomycin biosynthesis
group A	2.10.1.1	p790	790	Folate biosynthesis
group A	2.2.1.1	p30	30	Pentose phosphate pathway
group A	2.2.1.1	p710	710	Carbon fixation in photosynthetic organisms
group A	2.2.1.1	p1051	1051	Biosynthesis of ansamycins
group A	2.2.1.10	p400	400	"Phenylalanine, tyrosine and tryptophan biosynthesis"
group A	2.2.1.11	p400	400	"Phenylalanine, tyrosine and tryptophan biosynthesis"
group A	2.2.1.12	p333	333	Carbapenem biosynthesis
group A	2.2.1.2	p30	30	Pentose phosphate pathway
group A	2.2.1.3	p680	680	Methane metabolism
group A	2.2.1.5	p630	630	Glyoxylate and dicarboxylate metabolism
group A	2.2.1.6	p290	290	"Valine, leucine and isoleucine biosynthesis"
group A	2.2.1.6	p650	650	Butanoate metabolism
group A	2.2.1.6	p660	660	C5-Branched dibasic acid metabolism
group A	2.2.1.6	p770	770	Pantothenate and CoA biosynthesis
group A	2.2.1.7	p730	730	Thiamine metabolism
group A	2.2.1.7	p900	900	Terpenoid backbone biosynthesis
group A	2.2.1.9	p130	130	Ubiquinone and other terpenoid-quinone biosynthesis
group A	2.3.-.-	p231	231	Puromycin biosynthesis
group A	2.3.-.-	p563	563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
group A	2.3.-.-	p998	998	Biosynthesis of various antibiotics
group A	2.3.1-	p61	61	Fatty acid biosynthesis
group A	2.3.1.-	p61	61	Fatty acid biosynthesis
group A	2.3.1.-	p253	253	Tetracycline biosynthesis
group A	2.3.1.-	p310	310	Lysine degradation
group A	2.3.1.-	p330	330	Arginine and proline metabolism
group A	2.3.1.-	p340	340	Histidine metabolism
group A	2.3.1.-	p350	350	Tyrosine metabolism
group A	2.3.1.-	p360	360	Phenylalanine metabolism
group A	2.3.1.-	p362	362	Benzoate degradation via hydroxylation
group A	2.3.1.-	p540	540	Lipopolysaccharide biosynthesis
group A	2.3.1.-	p564	564	Glycerophospholipid metabolism
group A	2.3.1.-	p565	565	Ether lipid metabolism
group A	2.3.1.-	p604	604	Glycosphingolipid biosynthesis - ganglio series
group A	2.3.1.-	p623	623	"2,4-Dichlorobenzoate degradation"
group A	2.3.1.-	p626	626	Naphthalene and anthracene degradation
group A	2.3.1.-	p627	627	"1,4-Dichlorobenzene degradation"
group A	2.3.1.-	p642	642	Ethylbenzene degradation
group A	2.3.1.-	p650	650	Butanoate metabolism
group A	2.3.1.-	p680	680	Methane metabolism
group A	2.3.1.-	p903	903	Limonene and pinene degradation
group A	2.3.1.-	p904	904	Diterpenoid biosynthesis
group A	2.3.1.-	p906	906	Carotenoid biosynthesis
group A	2.3.1.-	p940	940	Phenylpropanoid biosynthesis
group A	2.3.1.-	p942	942	Anthocyanin biosynthesis
group A	2.3.1.-	p945	945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
group A	2.3.1.-	p950	950	Isoquinoline alkaloid biosynthesis
group A	2.3.1.-	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	2.3.1.-	p965	965	Betalain biosynthesis
group A	2.3.1.-	p1056	1056	Biosynthesis of type II polyketide backbone
group A	2.3.1.1	p220	220	Arginine biosynthesis
group A	2.3.1.1	p330	330	Arginine and proline metabolism
group A	2.3.1.101	p680	680	Methane metabolism
group A	2.3.1.102	p310	310	Lysine degradation
group A	2.3.1.102	p997	997	Biosynthesis of various other secondary metabolites
group A	2.3.1.105	p565	565	Ether lipid metabolism
group A	2.3.1.107	p901	901	Indole alkaloid biosynthesis
group A	2.3.1.109	p330	330	Arginine and proline metabolism
group A	2.3.1.115	p943	943	Isoflavonoid biosynthesis
group A	2.3.1.115	p944	944	Flavone and flavonol biosynthesis
group A	2.3.1.116	p944	944	Flavone and flavonol biosynthesis
group A	2.3.1.117	p300	300	Lysine biosynthesis
group A	2.3.1.12	p10	10	Glycolysis / Gluconeogenesis
group A	2.3.1.12	p20	20	Citrate cycle (TCA cycle)
group A	2.3.1.12	p620	620	Pyruvate metabolism
group A	2.3.1.121	p565	565	Ether lipid metabolism
group A	2.3.1.122	p572	572	Lipoarabinomannan (LAM) biosynthesis
group A	2.3.1.125	p565	565	Ether lipid metabolism
group A	2.3.1.129	p540	540	Lipopolysaccharide biosynthesis
group A	2.3.1.13	p360	360	Phenylalanine metabolism
group A	2.3.1.133	p940	940	Phenylpropanoid biosynthesis
group A	2.3.1.133	p941	941	Flavonoid biosynthesis
group A	2.3.1.133	p945	945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
group A	2.3.1.134	p561	561	Glycerolipid metabolism
group A	2.3.1.135	p830	830	Retinol metabolism
group A	2.3.1.14	p350	350	Tyrosine metabolism
group A	2.3.1.14	p360	360	Phenylalanine metabolism
group A	2.3.1.140	p350	350	Tyrosine metabolism
group A	2.3.1.141	p561	561	Glycerolipid metabolism
group A	2.3.1.143	p999	999	Biosynthesis of various plant secondary metabolites
group A	2.3.1.145	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	2.3.1.146	p945	945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
group A	2.3.1.15	p561	561	Glycerolipid metabolism
group A	2.3.1.15	p564	564	Glycerophospholipid metabolism
group A	2.3.1.150	p950	950	Isoquinoline alkaloid biosynthesis
group A	2.3.1.153	p942	942	Anthocyanin biosynthesis
group A	2.3.1.157	p520	520	Amino sugar and nucleotide sugar metabolism
group A	2.3.1.158	p561	561	Glycerolipid metabolism
group A	2.3.1.159	p996	996	Biosynthesis of various alkaloids
group A	2.3.1.16	p62	62	Fatty acid elongation in mitochondria
group A	2.3.1.16	p71	71	Fatty acid metabolism
group A	2.3.1.16	p280	280	"Valine, leucine and isoleucine degradation"
group A	2.3.1.16	p281	281	Geraniol degradation
group A	2.3.1.16	p362	362	Benzoate degradation via hydroxylation
group A	2.3.1.16	p592	592	alpha-Linolenic acid metabolism
group A	2.3.1.16	p642	642	Ethylbenzene degradation
group A	2.3.1.16	p1040	1040	Biosynthesis of unsaturated fatty acids
group A	2.3.1.160	p901	901	Indole alkaloid biosynthesis
group A	2.3.1.161	p997	997	Biosynthesis of various other secondary metabolites
group A	2.3.1.162	p904	904	Diterpenoid biosynthesis
group A	2.3.1.164	p311	311	Penicillin and cephalosporin biosynthesis
group A	2.3.1.165	p1059	1059	Biosynthesis of enediyne antibiotics
group A	2.3.1.166	p904	904	Diterpenoid biosynthesis
group A	2.3.1.167	p904	904	Diterpenoid biosynthesis
group A	2.3.1.168	p280	280	"Valine, leucine and isoleucine degradation"
group A	2.3.1.168	p640	640	Propanoate metabolism
group A	2.3.1.169	p720	720	Reductive carboxylate cycle (CO2 fixation)
group A	2.3.1.17	p250	250	"Alanine, aspartate and glutamate metabolism"
group A	2.3.1.170	p941	941	Flavonoid biosynthesis
group A	2.3.1.171	p942	942	Anthocyanin biosynthesis
group A	2.3.1.172	p942	942	Anthocyanin biosynthesis
group A	2.3.1.173	p944	944	Flavone and flavonol biosynthesis
group A	2.3.1.174	p360	360	Phenylalanine metabolism
group A	2.3.1.174	p362	362	Benzoate degradation via hydroxylation
group A	2.3.1.175	p311	311	Penicillin and cephalosporin biosynthesis
group A	2.3.1.176	p120	120	Primary bile acid biosynthesis
group A	2.3.1.176	p1040	1040	Biosynthesis of unsaturated fatty acids
group A	2.3.1.178	p260	260	"Glycine, serine and threonine metabolism"
group A	2.3.1.179	p61	61	Fatty acid biosynthesis
group A	2.3.1.179	p780	780	Biotin metabolism
group A	2.3.1.180	p61	61	Fatty acid biosynthesis
group A	2.3.1.181	p785	785	Lipoic acid metabolism
group A	2.3.1.182	p290	290	"Valine, leucine and isoleucine biosynthesis"
group A	2.3.1.183	p440	440	Phosphonate and phosphinate metabolism
group A	2.3.1.184	p270	270	Cysteine and methionine metabolism
group A	2.3.1.185	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	2.3.1.186	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	2.3.1.188	p73	73	"Cutin, suberine and wax biosynthesis"
group A	2.3.1.19	p650	650	Butanoate metabolism
group A	2.3.1.191	p540	540	Lipopolysaccharide biosynthesis
group A	2.3.1.192	p360	360	Phenylalanine metabolism
group A	2.3.1.195	p592	592	alpha-Linolenic acid metabolism
group A	2.3.1.197	p523	523	Polyketide sugar unit biosynthesis
group A	2.3.1.197	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	2.3.1.198	p564	564	Glycerophospholipid metabolism
group A	2.3.1.199	p62	62	Fatty acid elongation in mitochondria
group A	2.3.1.199	p1040	1040	Biosynthesis of unsaturated fatty acids
group A	2.3.1.20	p73	73	"Cutin, suberine and wax biosynthesis"
group A	2.3.1.20	p561	561	Glycerolipid metabolism
group A	2.3.1.200	p785	785	Lipoic acid metabolism
group A	2.3.1.201	p520	520	Amino sugar and nucleotide sugar metabolism
group A	2.3.1.201	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	2.3.1.202	p520	520	Amino sugar and nucleotide sugar metabolism
group A	2.3.1.202	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	2.3.1.203	p520	520	Amino sugar and nucleotide sugar metabolism
group A	2.3.1.204	p785	785	Lipoic acid metabolism
group A	2.3.1.205	p901	901	Indole alkaloid biosynthesis
group A	2.3.1.206	p999	999	Biosynthesis of various plant secondary metabolites
group A	2.3.1.209	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	2.3.1.21	p71	71	Fatty acid metabolism
group A	2.3.1.210	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	2.3.1.211	p945	945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
group A	2.3.1.214	p942	942	Anthocyanin biosynthesis
group A	2.3.1.215	p942	942	Anthocyanin biosynthesis
group A	2.3.1.217	p945	945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
group A	2.3.1.218	p945	945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
group A	2.3.1.219	p945	945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
group A	2.3.1.22	p561	561	Glycerolipid metabolism
group A	2.3.1.221	p254	254	Aflatoxin biosynthesis
group A	2.3.1.222	p640	640	Propanoate metabolism
group A	2.3.1.223	p360	360	Phenylalanine metabolism
group A	2.3.1.226	p332	332	Carbapenem biosynthesis
group A	2.3.1.227	p520	520	Amino sugar and nucleotide sugar metabolism
group A	2.3.1.227	p541	541	O-Antigen nucleotide sugar biosynthesis
group A	2.3.1.23	p564	564	Glycerophospholipid metabolism
group A	2.3.1.230	p405	405	Phenazine biosynthesis
group A	2.3.1.235	p1056	1056	Biosynthesis of type II polyketide backbone
group A	2.3.1.237	p1059	1059	Biosynthesis of enediyne antibiotics
group A	2.3.1.238	p997	997	Biosynthesis of various other secondary metabolites
group A	2.3.1.239	p522	522	"Biosynthesis of 12-, 14- and 16-membered macrolides"
group A	2.3.1.24	p600	600	Sphingolipid metabolism
group A	2.3.1.240	p522	522	"Biosynthesis of 12-, 14- and 16-membered macrolides"
group A	2.3.1.241	p540	540	Lipopolysaccharide biosynthesis
group A	2.3.1.242	p540	540	Lipopolysaccharide biosynthesis
group A	2.3.1.243	p540	540	Lipopolysaccharide biosynthesis
group A	2.3.1.244	p997	997	Biosynthesis of various other secondary metabolites
group A	2.3.1.246	p1055	1055	Biosynthesis of vancomycin group antibiotics
group A	2.3.1.247	p310	310	Lysine degradation
group A	2.3.1.25	p565	565	Ether lipid metabolism
group A	2.3.1.251	p540	540	Lipopolysaccharide biosynthesis
group A	2.3.1.26	p100	100	Steroid biosynthesis
group A	2.3.1.260	p253	253	Tetracycline biosynthesis
group A	2.3.1.260	p1056	1056	Biosynthesis of type II polyketide backbone
group A	2.3.1.262	p405	405	Phenazine biosynthesis
group A	2.3.1.265	p571	571	Lipoarabinomannan (LAM) biosynthesis
group A	2.3.1.271	p330	330	Arginine and proline metabolism
group A	2.3.1.274	p561	561	Glycerolipid metabolism
group A	2.3.1.275	p561	561	Glycerolipid metabolism
group A	2.3.1.275	p564	564	Glycerophospholipid metabolism
group A	2.3.1.276	p520	520	Amino sugar and nucleotide sugar metabolism
group A	2.3.1.280	p440	440	Phosphonate and phosphinate metabolism
group A	2.3.1.285	p950	950	Isoquinoline alkaloid biosynthesis
group A	2.3.1.286	p760	760	Nicotinate and nicotinamide metabolism
group A	2.3.1.29	p260	260	"Glycine, serine and threonine metabolism"
group A	2.3.1.291	p600	600	Sphingolipid metabolism
group A	2.3.1.297	p600	600	Sphingolipid metabolism
group A	2.3.1.298	p600	600	Sphingolipid metabolism
group A	2.3.1.299	p600	600	Sphingolipid metabolism
group A	2.3.1.3	p520	520	Amino sugar and nucleotide sugar metabolism
group A	2.3.1.30	p270	270	Cysteine and methionine metabolism
group A	2.3.1.30	p920	920	Sulfur metabolism
group A	2.3.1.30	p998	998	Biosynthesis of various antibiotics
group A	2.3.1.304	p650	650	Butanoate metabolism
group A	2.3.1.306	p310	310	Lysine degradation
group A	2.3.1.31	p270	270	Cysteine and methionine metabolism
group A	2.3.1.31	p920	920	Sulfur metabolism
group A	2.3.1.32	p310	310	Lysine degradation
group A	2.3.1.35	p220	220	Arginine biosynthesis
group A	2.3.1.35	p330	330	Arginine and proline metabolism
group A	2.3.1.36	p360	360	Phenylalanine metabolism
group A	2.3.1.36	p470	470	D-Amino acid metabolism
group A	2.3.1.37	p260	260	"Glycine, serine and threonine metabolism"
group A	2.3.1.37	p860	860	Porphyrin and chlorophyll metabolism
group A	2.3.1.39	p61	61	Fatty acid biosynthesis
group A	2.3.1.4	p520	520	Amino sugar and nucleotide sugar metabolism
group A	2.3.1.40	p564	564	Glycerophospholipid metabolism
group A	2.3.1.41	p61	61	Fatty acid biosynthesis
group A	2.3.1.41	p780	780	Biotin metabolism
group A	2.3.1.42	p564	564	Glycerophospholipid metabolism
group A	2.3.1.43	p564	564	Glycerophospholipid metabolism
group A	2.3.1.46	p270	270	Cysteine and methionine metabolism
group A	2.3.1.46	p920	920	Sulfur metabolism
group A	2.3.1.47	p780	780	Biotin metabolism
group A	2.3.1.5	p232	232	Caffeine metabolism
group A	2.3.1.5	p633	633	Trinitrotoluene degradation
group A	2.3.1.5	p983	983	Drug metabolism - other enzymes
group A	2.3.1.50	p600	600	Sphingolipid metabolism
group A	2.3.1.51	p561	561	Glycerolipid metabolism
group A	2.3.1.51	p564	564	Glycerophospholipid metabolism
group A	2.3.1.52	p564	564	Glycerophospholipid metabolism
group A	2.3.1.53	p360	360	Phenylalanine metabolism
group A	2.3.1.54	p620	620	Pyruvate metabolism
group A	2.3.1.54	p640	640	Propanoate metabolism
group A	2.3.1.54	p650	650	Butanoate metabolism
group A	2.3.1.57	p330	330	Arginine and proline metabolism
group A	2.3.1.6	p564	564	Glycerophospholipid metabolism
group A	2.3.1.61	p20	20	Citrate cycle (TCA cycle)
group A	2.3.1.61	p310	310	Lysine degradation
group A	2.3.1.61	p380	380	Tryptophan metabolism
group A	2.3.1.62	p564	564	Glycerophospholipid metabolism
group A	2.3.1.63	p565	565	Ether lipid metabolism
group A	2.3.1.64	p330	330	Arginine and proline metabolism
group A	2.3.1.64	p999	999	Biosynthesis of various plant secondary metabolites
group A	2.3.1.65	p120	120	Primary bile acid biosynthesis
group A	2.3.1.65	p430	430	Taurine and hypotaurine metabolism
group A	2.3.1.67	p565	565	Ether lipid metabolism
group A	2.3.1.71	p360	360	Phenylalanine metabolism
group A	2.3.1.73	p100	100	Steroid biosynthesis
group A	2.3.1.74	p941	941	Flavonoid biosynthesis
group A	2.3.1.74	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	2.3.1.75	p73	73	"Cutin, suberine and wax biosynthesis"
group A	2.3.1.76	p830	830	Retinol metabolism
group A	2.3.1.78	p531	531	Glycosaminoglycan degradation
group A	2.3.1.8	p430	430	Taurine and hypotaurine metabolism
group A	2.3.1.8	p620	620	Pyruvate metabolism
group A	2.3.1.8	p640	640	Propanoate metabolism
group A	2.3.1.8	p680	680	Methane metabolism
group A	2.3.1.8	p720	720	Reductive carboxylate cycle (CO2 fixation)
group A	2.3.1.80	p480	480	Glutathione metabolism
group A	2.3.1.85	p61	61	Fatty acid biosynthesis
group A	2.3.1.86	p61	61	Fatty acid biosynthesis
group A	2.3.1.87	p380	380	Tryptophan metabolism
group A	2.3.1.89	p300	300	Lysine biosynthesis
group A	2.3.1.9	p71	71	Fatty acid metabolism
group A	2.3.1.9	p72	72	Synthesis and degradation of ketone bodies
group A	2.3.1.9	p280	280	"Valine, leucine and isoleucine degradation"
group A	2.3.1.9	p310	310	Lysine degradation
group A	2.3.1.9	p362	362	Benzoate degradation via hydroxylation
group A	2.3.1.9	p380	380	Tryptophan metabolism
group A	2.3.1.9	p620	620	Pyruvate metabolism
group A	2.3.1.9	p630	630	Glyoxylate and dicarboxylate metabolism
group A	2.3.1.9	p640	640	Propanoate metabolism
group A	2.3.1.9	p650	650	Butanoate metabolism
group A	2.3.1.9	p720	720	Reductive carboxylate cycle (CO2 fixation)
group A	2.3.1.9	p900	900	Terpenoid backbone biosynthesis
group A	2.3.1.91	p940	940	Phenylpropanoid biosynthesis
group A	2.3.1.92	p940	940	Phenylpropanoid biosynthesis
group A	2.3.1.93	p960	960	"Tropane, piperidine and pyridine alkaloid biosynthesis"
group A	2.3.1.94	p522	522	"Biosynthesis of 12-, 14- and 16-membered macrolides"
group A	2.3.1.95	p945	945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
group A	2.3.1.99	p940	940	Phenylpropanoid biosynthesis
group A	2.3.1.99	p945	945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
group A	2.3.2.-	p550	550	Peptidoglycan biosynthesis
group A	2.3.2.-	p590	590	Arachidonic acid metabolism
group A	2.3.2.-	p904	904	Diterpenoid biosynthesis
group A	2.3.2.1	p470	470	D-Amino acid metabolism
group A	2.3.2.10	p550	550	Peptidoglycan biosynthesis
group A	2.3.2.16	p550	550	Peptidoglycan biosynthesis
group A	2.3.2.17	p550	550	Peptidoglycan biosynthesis
group A	2.3.2.18	p550	550	Peptidoglycan biosynthesis
group A	2.3.2.19	p524	524	"Neomycin, kanamycin and gentamicin biosynthesis"
group A	2.3.2.2	p430	430	Taurine and hypotaurine metabolism
group A	2.3.2.2	p460	460	Cyanoamino acid metabolism
group A	2.3.2.2	p480	480	Glutathione metabolism
group A	2.3.2.2	p590	590	Arachidonic acid metabolism
group A	2.3.2.35	p996	996	Biosynthesis of various alkaloids
group A	2.3.2.4	p480	480	Glutathione metabolism
group A	2.3.3.-	p400	400	"Phenylalanine, tyrosine and tryptophan biosynthesis"
group A	2.3.3.-	p680	680	Methane metabolism
group A	2.3.3.-	p966	966	Glucosinolate biosynthesis
group A	2.3.3.1	p20	20	Citrate cycle (TCA cycle)
group A	2.3.3.1	p630	630	Glyoxylate and dicarboxylate metabolism
